Hyperspectral Image Index,Count
0,446
1,403
2,402
3,422
4,437
5,509
6,608
7,717
8,1006
9,1208
10,1641
11,2715
12,6556
13,35451
14,206021
15,592466
16,436523
17,170306
18,106668
19,140541
20,141639
21,138213
22,120970
23,109776
24,100715
25,105516
26,137701
27,191686
28,202515
29,165361
30,151068
31,131649
32,119528
33,114761
34,82661
35,67881
36,53726
37,48059
38,30028
39,22906
40,20855
41,19226
42,20972
43,22300
44,29005
45,26856
46,19415
47,16844
48,18030
49,14421
50,9651
51,8551
52,5840
53,4336
54,3278
55,2467
56,1573
57,1203
58,756
59,531
60,209
61,206
62,148
63,178
64,167
65,126
66,157
67,121
68,159
69,161
70,158
71,164
72,183
73,140
74,157
75,169
76,200
77,284
78,412
79,411
80,329
81,230
82,175
83,153
84,170
85,166
86,182
87,170
88,176
89,127
90,99
91,85
92,114
93,97
94,123
95,114
96,82
97,89
98,78
99,65
100,55
